Table with column headers in rows 2 through 3.,,,,,,,,,,,,,,,
State Code of Geography A,FIPS County Code of Geography A,State/U.S. Island Area/Foreign Region Code of Geography B,FIPS County Code of Geography B,State Name of Geography A,County Name of Geography A,State/U.S. Island Area/Foreign Region of Geography B,County Name of Geography B,Flow from Geography B to Geography A,,Counterflow from Geography A to Geography B1,,Net Migration from Geography B to Geography A1,,Gross Migration between Geography A and Geography B1,
,,,,,,,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
049,001,004,007,Utah,Beaver County,Arizona,Gila County,47,71,0,29,47,71,47,71
049,001,006,071,Utah,Beaver County,California,San Bernardino County,46,75,40,63,6,71,86,118
049,001,016,005,Utah,Beaver County,Idaho,Bannock County,0,16,67,102,-67,102,67,102
049,001,017,117,Utah,Beaver County,Illinois,Macoupin County,2,3,0,23,2,3,2,3
049,001,019,161,Utah,Beaver County,Iowa,Sac County,0,16,10,13,-10,13,10,13
049,001,040,031,Utah,Beaver County,Oklahoma,Comanche County,12,20,0,22,12,20,12,20
049,001,041,043,Utah,Beaver County,Oregon,Linn County,21,32,0,28,21,32,21,32
049,001,045,045,Utah,Beaver County,South Carolina,Greenville County,0,16,12,13,-12,13,12,13
049,001,049,003,Utah,Beaver County,Utah,Box Elder County,0,16,1,5,-1,5,1,5
049,001,049,005,Utah,Beaver County,Utah,Cache County,0,16,9,18,-9,18,9,18
049,001,049,007,Utah,Beaver County,Utah,Carbon County,4,14,8,12,-4,18,12,18
049,001,049,011,Utah,Beaver County,Utah,Davis County,0,16,59,65,-59,65,59,65
049,001,049,021,Utah,Beaver County,Utah,Iron County,48,81,82,92,-34,124,130,120
049,001,049,023,Utah,Beaver County,Utah,Juab County,0,16,7,11,-7,11,7,11
049,001,049,027,Utah,Beaver County,Utah,Millard County,66,91,0,18,66,91,66,91
049,001,049,031,Utah,Beaver County,Utah,Piute County,0,16,31,38,-31,38,31,38
049,001,049,035,Utah,Beaver County,Utah,Salt Lake County,0,16,109,75,-109,75,109,75
049,001,049,037,Utah,Beaver County,Utah,San Juan County,0,16,5,10,-5,10,5,10
049,001,049,039,Utah,Beaver County,Utah,Sanpete County,0,16,58,86,-58,86,58,86
049,001,049,041,Utah,Beaver County,Utah,Sevier County,59,67,20,20,39,68,79,72
049,001,049,047,Utah,Beaver County,Utah,Uintah County,10,16,0,24,10,16,10,16
049,001,049,049,Utah,Beaver County,Utah,Utah County,35,58,114,92,-79,108,149,109
049,001,049,051,Utah,Beaver County,Utah,Wasatch County,0,16,9,17,-9,17,9,17
049,001,049,053,Utah,Beaver County,Utah,Washington County,10,16,127,95,-117,99,137,94
049,001,049,057,Utah,Beaver County,Utah,Weber County,0,16,22,26,-22,26,22,26
049,001,053,071,Utah,Beaver County,Washington,Walla Walla County,1,3,0,28,1,3,1,3
049,001,053,077,Utah,Beaver County,Washington,Yakima County,8,12,0,28,8,12,8,12
049,001,CAM,,Utah,Beaver County,Central America,-,18,18,,,,,,
049,003,002,090,Utah,Box Elder County,Alaska,Fairbanks North Star Borough,0,27,10,15,-10,15,10,15
049,003,004,009,Utah,Box Elder County,Arizona,Graham County,24,32,0,26,24,32,24,32
049,003,004,013,Utah,Box Elder County,Arizona,Maricopa County,3,5,163,142,-160,141,166,142
049,003,004,015,Utah,Box Elder County,Arizona,Mohave County,2,3,0,29,2,3,2,3
049,003,004,019,Utah,Box Elder County,Arizona,Pima County,20,30,0,29,20,30,20,30
049,003,004,021,Utah,Box Elder County,Arizona,Pinal County,25,40,0,29,25,40,25,40
049,003,004,027,Utah,Box Elder County,Arizona,Yuma County,0,27,30,35,-30,35,30,35
049,003,005,007,Utah,Box Elder County,Arkansas,Benton County,2,4,0,27,2,4,2,4
049,003,006,029,Utah,Box Elder County,California,Kern County,48,59,0,29,48,59,48,59
049,003,006,037,Utah,Box Elder County,California,Los Angeles County,24,20,20,31,4,37,44,37
049,003,006,057,Utah,Box Elder County,California,Nevada County,24,37,0,29,24,37,24,37
